,ATC Coin,Aidos Kuneen,Ark,BitBay,BitConnect,BitShares,Bitcoin,Bitcoin Cash,BitcoinDark,Bitdeal,BlackCoin,Blocknet,Burst,Byteball Bytes,Bytecoin,Clams,CloakCoin,Compcoin,Counterparty,Crown,DECENT,Dash,Decred,Diamond,DigiByte,DigitalNote,Dogecoin,E-coin,Einsteinium,Elastic,Emercoin,Energycoin,Ethereum,Ethereum Classic,Expanse,Factom,FairCoin,FirstCoin,GXShares,Gambit,GameCredits,Golos,GridCoin,Groestlcoin,Gulden,Hshare,I-O Coin,ION,IOTA,Komodo,LBRY Credits,LEOcoin,Lisk,Litecoin,Lykke,Metaverse ETP,MonaCoin,Monero,MonetaryUnit,Mooncoin,NAV Coin,NEM,NEO,Namecoin,Neblio,Nexus,NoLimitCoin,Nxt,OKCash,Omni,PIVX,Particl,Peercoin,PotCoin,Radium,ReddCoin,Ripple,Rise,Rubycoin,SIBCoin,SaluS,Shift,Siacoin,Skycoin,SpreadCoin,Sprouts,Steem,Stellar Lumens,Stratis,Syscoin,The ChampCoin,Ubiq,Unobtanium,Verge,Vertcoin,Viacoin,Waves,ZCoin,Zcash,ZenCash
ATC Coin,1.0,0.297453242327,0.899073229282,-0.294772443631,0.65348290822,-0.524010607042,0.550729238112,0.287570860803,0.730168738629,-0.0914090203834,-0.493055679648,0.64159902923,0.00238114709844,-0.604943733642,-0.0167674686556,0.572986184879,0.534559747172,-0.263897498818,0.143521582602,0.476941829722,-0.301692256489,0.688878056212,0.119547316291,0.841238296314,-0.0781342650225,-0.17726642337,-0.597572794104,-0.355891431021,-0.14769935573,0.274202927793,-0.525507694869,0.168948620884,0.25280535039,-0.440609789707,0.460697417115,0.106801829405,0.71808631487,0.794849901408,-0.559860978912,0.712745710559,-0.453162460591,-0.139893642124,-0.268413167101,0.0828619068437,0.654281948501,-0.697831234968,0.743956925683,0.322181067615,0.242348481038,0.631248937654,-0.580565014191,-0.748653446695,0.819467878466,0.563568893742,0.0865437098217,-0.688811232335,-0.19578388386,0.704354040101,0.424643144157,-0.0499717862807,0.782232357444,0.403924083582,0.240779165548,-0.599740669786,-0.493701834667,0.878710275725,0.525664472516,-0.551841033139,0.885498000742,-0.395961970283,0.788762892835,0.318819205967,-0.57907173871,-0.363108865779,0.31847300248,-0.250492146075,-0.0628893984744,0.818782586921,0.715561304806,-0.0863041345318,0.0301301524985,0.187262476337,0.878710275725,-0.624183139835,0.485401540557,0.503993451993,-0.249211961447,-0.492517807444,-0.112092846465,0.705889377364,-0.124708089624,0.405027183604,0.777005022881,0.864695854747,0.513657410313,0.0704089417285,0.200187694294,-0.104658408142,-0.231193489428,0.476878482548
Aidos Kuneen,0.297453242327,1.0,0.799330153015,-0.647559676738,0.933407109294,-0.688954260611,0.910880849285,-0.010620095812,0.419154471051,-0.286077908883,-0.694307327823,0.910358191419,-0.62511531629,-0.844872339219,-0.657887133251,0.768998422765,0.666380252457,-0.697693656188,-0.138778212509,0.805127863525,-0.805991434671,0.943063782992,-0.114725986222,0.890822251513,-0.721206555845,-0.804336041821,-0.776727113416,-0.484802253552,-0.651739931936,0.08451018638,-0.348152826736,0.736105559428,-0.0466222787752,-0.442158449321,-0.267084241478,-0.18342806133,0.942015666251,0.943924902098,-0.286096440783,0.830743388379,-0.849185305611,0.032741736161,-0.798402236069,0.699744920536,0.0848171182721,0.358013040361,0.625066280849,0.861776175852,0.315909446101,0.396567035753,-0.741111230906,-0.62300023362,0.770844913481,0.8756450661,-0.568967607863,-0.800242179232,0.867120508275,0.893787461367,0.781166443179,-0.723844826916,0.59070654085,0.731920662443,0.743700951045,-0.373523128066,-0.536331183505,0.8367556238,0.921163709385,-0.537852290564,0.369506468694,-0.781537714912,0.855295492917,0.583738391837,-0.493622857096,-0.301560531651,0.0830924374469,-0.803489144334,-0.561291136868,0.660054886816,0.696571363242,0.926083912801,0.933149166919,-0.309725167312,0.8367556238,0.572739193217,0.895111124409,0.704117778658,-0.765751721373,-0.84757942367,-0.671719539668,0.182624064824,-0.355288148688,0.00163833362327,0.918496363947,0.298163222341,0.22064014066,0.784735417929,-0.386482539152,-0.0668417462425,-0.608487323837,-0.147823481716
Ark,0.899073229282,0.799330153015,1.0,0.317432573827,0.857315325091,0.210074081219,0.819351429844,0.412692003554,0.749332307498,-0.198817599468,0.137458210104,0.882901236405,0.279825869429,0.0599073682031,0.264597258547,0.720317108195,0.703204681489,-0.405410107288,0.508853377391,0.712373818352,-0.0756913827773,0.876358034161,0.528109088991,0.91781127134,0.279699307369,0.330338187792,0.0885561496327,-0.318253244152,0.392156127014,0.42326840801,0.172131974376,0.597484791746,0.608415911681,0.343265893024,0.575086034585,0.537520484631,0.850994307679,0.91346308404,-0.397950867622,0.775631478169,0.144608837186,0.545259284039,0.200665964687,0.55349575363,0.716076838701,-0.616990649252,0.910511574981,0.715184477345,0.519961684182,0.71616502785,0.210796552234,-0.16754394354,0.909763558581,0.730657176869,0.557830282102,-0.516408874117,0.442038769727,0.891581523304,0.767838718262,0.309229696263,0.81393716581,0.640185725153,0.695175144075,0.117383497966,0.112551299003,0.96566004067,0.807361004235,0.274762133892,0.854329383899,0.219384698035,0.835228710698,0.534365022456,0.113783377654,0.394113856206,0.611318809834,0.299719647876,0.259790291763,0.902118742349,0.763298254596,0.518734933875,0.591863333088,0.527534964955,0.96566004067,0.335480367037,0.794749363147,0.676753690831,0.354661030516,-0.027899720602,0.448587053422,0.687280425337,-0.351796657931,0.659784897232,0.891641133565,0.798746795971,0.646085869473,0.584927843768,0.584376764973,0.338686279656,0.356335786226,0.325434846776
BitBay,-0.294772443631,-0.647559676738,0.317432573827,1.0,0.668857351313,0.925350328144,0.883051153868,0.177441979055,0.902628935864,0.0429718622206,0.971712352169,0.735764240543,0.968963887792,0.922719098192,0.921338687443,0.853322035842,0.884370855462,0.0541776785509,0.915097460445,0.932248843075,0.714552761447,0.878822642513,0.969552192841,0.810271416981,0.882909818736,0.883004744453,0.942276471279,0.230589440914,0.962816580007,0.202827234961,0.917623934131,0.957111925248,0.954790745553,0.958529579061,0.937285071587,0.963035228494,0.742550748746,0.608805069755,0.617485951114,0.930822727791,0.965318772164,0.209320665735,0.937895176645,0.83851470187,0.902525138025,0.605250583452,0.827006266754,0.758317982515,-0.127393385966,0.817860137215,0.602844467271,0.306090347214,0.696059297786,0.916048137714,0.947168786403,0.593610785102,0.912665217348,0.816246161987,0.916694005446,0.892724668008,0.739683753152,0.916421436318,0.546510329884,0.934366616274,-0.281499426131,0.746877941178,0.429183501804,0.952286668785,0.598577493316,0.9571993785,0.865780092236,-0.0565953254345,0.95018325191,0.956080986879,0.959474785922,0.922266184414,0.942873469909,0.531613881044,0.818481141094,0.828025778765,0.894921664063,0.949012755126,0.746877941178,0.604867627081,0.804867796885,-0.266145584529,0.505209076958,0.852743949333,0.930369280434,0.933511460336,0.22338761649,0.923457416565,0.819020117829,0.845466036827,0.931172050561,0.939077716275,0.92168212452,0.889913893625,0.186109513421,0.114555146192
BitConnect,0.65348290822,0.933407109294,0.857315325091,0.668857351313,1.0,0.574432311093,0.969784302848,0.625130526687,0.859200584344,-0.403764371522,0.546854395107,0.944274393523,0.550031849252,0.483824511806,0.537215829911,0.833323303645,0.838134663005,-0.682953310204,0.750406523316,0.814616556538,0.191186920734,0.952176423172,0.763803452519,0.96305189328,0.534071595125,0.594729927917,0.486547040661,-0.328199975964,0.69472525494,0.530138651656,0.603156044184,0.822983335064,0.85185892473,0.707369853647,0.747763921219,0.798738252408,0.961673198734,0.983343857766,-0.153530681863,0.913641403255,0.517494278518,0.80786769365,0.521213163105,0.812965766184,0.840088095496,0.338432295831,0.914029342431,0.931680919816,0.772765894637,0.846064591085,0.620719819815,0.0472601013417,0.90107060176,0.910349385276,0.821204755186,-0.502507827869,0.761387331293,0.895149320985,0.941259716581,0.559944515729,0.744691949867,0.846802926341,0.89230292858,0.570060108598,-0.496386407259,0.910355171952,0.857744983854,0.68589098545,0.665815164707,0.570586987327,0.854026157838,0.824559879172,0.556456011337,0.767911568681,0.818645691887,0.587527001152,0.564815940667,0.803286646978,0.836714865058,0.839670599202,0.859644139424,0.734631358253,0.910355171952,0.708021589956,0.939523132855,0.713883946221,0.667997897578,0.295323649736,0.749542516522,0.782247540508,0.139753110674,0.846750104382,0.98212285244,0.849229253032,0.809116684437,0.856085504853,0.835205471077,0.662987419752,0.681745223666,0.159174210478
BitShares,-0.524010607042,-0.688954260611,0.210074081219,0.925350328144,0.574432311093,1.0,0.757504412334,-0.149191928053,0.850388616596,-0.250711381903,0.957028820386,0.632268893683,0.910316611111,0.889599071816,0.879311365835,0.753535174628,0.807225695798,0.0715498811866,0.856382274082,0.807846390103,0.757796327879,0.754435656238,0.885662113196,0.700599627204,0.854362764884,0.879311786522,0.897708522272,0.260131614568,0.933968992999,0.230011433914,0.830769544572,0.855408120861,0.915367086275,0.910487101464,0.881928017872,0.919300894484,0.621783405339,0.478901723029,0.785636094319,0.840179097839,0.908431131555,0.220267908294,0.947141877749,0.741472035128,0.795428757004,0.781389419603,0.720125985923,0.638984845067,-0.121837535178,0.769896294665,0.658705586499,0.282193362119,0.647650054098,0.809846660662,0.889546850868,0.690634926645,0.818733933632,0.686676811625,0.812877879279,0.877313209899,0.624662386459,0.818295187542,0.469639731638,0.813751209615,-0.563076228902,0.637620134502,0.329758533586,0.946574776151,0.51407842333,0.935125882933,0.721501513192,0.0667142869166,0.843276535305,0.870862130958,0.889356125145,0.907072333205,0.852803621292,0.430876318689,0.652533557741,0.718731706982,0.806132502075,0.913182035536,0.637620134502,0.535567136587,0.6922892556,-0.209065639557,0.539254342336,0.787942969485,0.890732730317,0.857947921818,0.320693384732,0.893127642877,0.718188477489,0.782159039762,0.88438579557,0.872296447915,0.888653633718,0.84925703122,0.219621931274,0.0405782764069
Bitcoin,0.550729238112,0.910880849285,0.819351429844,0.883051153868,0.969784302848,0.757504412334,1.0,0.597021069162,0.905986893874,-0.453293166386,0.768460911465,0.899469344405,0.830570987293,0.604930734083,0.817857953045,0.853105160128,0.863366583343,-0.684513095846,0.871444374089,0.919846232056,0.361925448231,0.968443618424,0.911601670039,0.911110993256,0.784257305443,0.791738802575,0.775159258016,-0.216090234641,0.871912677081,0.603776611319,0.846586928697,0.918289459597,0.943774337651,0.864465602351,0.89900170832,0.925494321764,0.894834485707,0.960564667289,-0.00447759783045,0.956124768728,0.841259228663,0.234893628946,0.795364388872,0.859084603843,0.92926358099,0.702823591789,0.956574700585,0.930864838715,0.860343948358,0.851503680289,0.443302728938,0.339593269894,0.811100912357,0.898484939044,0.907179595641,-0.288990161003,0.764479753372,0.950808060838,0.956179087654,0.692609666601,0.840439600628,0.952959330583,0.856673976216,0.269555869428,-0.50473203011,0.899399327412,0.80543867825,0.758023928233,0.693513618186,0.315547320669,0.924210892737,0.871520514053,0.319001162936,0.939803270723,0.936032731122,0.810437160397,0.843407443188,0.76637104326,0.886014425261,0.889831506245,0.908517922319,0.877741249136,0.899399327412,0.657191450266,0.914878498428,-0.339989229024,0.394869714853,0.711511767095,0.876930715983,0.911333634793,0.282194339057,0.918577278125,0.928911085932,0.870357395121,0.264573682207,0.903578879247,0.922561231115,0.791081098442,0.132211021913,0.381183470065
Bitcoin Cash,0.287570860803,-0.010620095812,0.412692003554,0.177441979055,0.625130526687,-0.149191928053,0.597021069162,1.0,0.386010407638,-0.266248792902,0.0627884488435,0.481734072358,0.162067696086,-0.309858304728,0.335774042125,0.639619932166,0.13638949549,-0.323339356236,0.668712734677,0.585869546671,0.0311547853602,0.72650280783,0.372033053337,0.429534566762,-0.0739882866915,-0.217427067539,0.049562618692,0.387649954446,-0.470588950869,-0.0906838167339,0.309687291877,0.537635653416,0.552765592436,0.251068169485,0.69068767859,0.668665861643,0.537271575777,0.531691954797,-0.0577350566702,0.592179627228,-0.280091434164,0.52513751751,0.363839563166,-0.0245144638895,0.619260098451,0.592636502255,0.43067460075,0.142247676776,0.491588365298,0.431910612073,-0.344277175062,0.0263984942801,0.549459821974,0.541932081053,0.174837589019,-0.109376313404,0.175229671027,0.62644158438,0.638107684976,0.355709104563,0.379959147825,0.374730446181,0.373323344425,0.0976714706797,-0.435832861808,0.396873626552,0.527664834634,-0.25219840433,0.125388842667,0.148306405144,0.437590296682,0.442167508537,0.0225937582061,0.230897887582,0.604878009294,0.237687954157,0.573911768367,0.319647819517,0.62026256263,-0.205194605187,0.694516935286,0.625554696274,0.396873626552,-0.119547132668,0.59416431784,0.40311919175,0.250172337939,-0.00644429713912,-0.0622866398063,0.380706130452,0.494335761244,0.666221025093,0.427259036686,0.230671459402,0.517038066656,0.224632701962,0.28488884856,0.339503317059,0.50654127197,0.660787496494
BitcoinDark,0.730168738629,0.419154471051,0.749332307498,0.902628935864,0.859200584344,0.850388616596,0.905986893874,0.386010407638,1.0,-0.173063472546,0.854226698933,0.87109764342,0.886059692616,0.705170028708,0.839699658658,0.858519765808,0.925988794094,-0.326769637025,0.860643511875,0.909283151538,0.500919152848,0.923373003426,0.904449263381,0.922822119252,0.816035371614,0.831929705768,0.815314411425,-0.0821871551809,0.898078070798,0.379097329744,0.80572301659,0.939303140115,0.935649959056,0.870011203099,0.904960226836,0.930242571016,0.86019640954,0.844244586194,-0.173162854622,0.954143616913,0.839087616567,0.229066638037,0.842725885545,0.856345342398,0.894228234711,-0.481876795365,0.912821629871,0.81310366843,0.232133282315,0.991124593426,0.536019036904,0.268428221854,0.862429090053,0.939021632964,0.890858589821,-0.17680737761,0.839030211065,0.898243517731,0.925201184973,0.833864003728,0.890303834416,0.89570582392,0.682097633516,0.734308823186,-0.315642416805,0.9083227704,0.665713539591,0.853834951848,0.781112426523,0.861925625429,0.899883532584,0.570018241456,0.771675191809,0.876252444953,0.936629087205,0.854380309621,0.841696249276,0.795250006489,0.79494445247,0.841564577149,0.895808347312,0.922065024094,0.9083227704,0.583922747668,0.87754031993,-0.226644870062,0.467311096718,0.695968188776,0.869551273069,0.963622711257,-0.108281835676,0.9473350128,0.923641631942,0.952290914024,0.936827288639,0.931421284391,0.905287570609,0.80778375668,0.178993262458,0.246866282966
Bitdeal,-0.0914090203834,-0.286077908883,-0.198817599468,0.0429718622206,-0.403764371522,-0.250711381903,-0.453293166386,-0.266248792902,-0.173063472546,1.0,-0.00560376932297,-0.293626419821,-0.0500172114162,0.0838428322518,-0.319180779026,-0.29805843266,-0.00723159792747,0.201987744138,-0.398000584229,-0.122248181676,-0.320430514893,-0.296662626529,-0.180419877748,-0.135708391142,-0.189045017036,-0.256141767265,-0.35245945615,-0.305539494574,0.0816145603758,-0.365161154806,-0.320460054291,-0.179079389924,-0.462967409115,-0.275649258911,-0.446266125794,-0.486044719438,-0.13509586127,-0.238401855259,-0.264647035412,-0.155505701777,-0.108499776815,-0.334232064387,-0.0799653636108,0.580861718096,-0.269474193466,-0.40046656404,-0.0594126660384,-0.388303719073,-0.440615818358,-0.247493645491,-0.018456457709,-0.318870988886,-0.24832175201,-0.412225041706,-0.385537253322,-0.0738192141766,0.0233602345578,-0.363340114965,-0.365346170647,-0.140968020417,-0.203283177945,-0.442760378393,-0.45877632406,-0.0897030905454,0.116762198214,-0.207925159769,-0.451284687642,-0.126894197191,-0.0118086952976,-0.0336324885887,-0.172338614861,-0.429533400272,-0.115219075902,-0.35663622063,-0.449006564206,-0.239150336348,-0.390987993464,0.0489035382151,-0.268158040121,0.284034548293,-0.426069715976,-0.317227296532,-0.207925159769,-0.0540602538668,-0.185502084111,-0.263045726954,-0.194864199022,-0.243692318193,-0.277708113011,-0.324715360482,-0.209583370144,-0.434990017275,-0.188001784185,-0.0649753492802,-0.0853427463058,-0.164162224614,-0.419413851225,-0.352509158897,-0.44935721739,-0.437144169231
