Date,ATC Coin,Aidos Kuneen,Ark,BitBay,BitConnect,BitShares,Bitcoin,Bitcoin Cash,BitcoinDark,Bitdeal,BlackCoin,Blocknet,Burst,Byteball Bytes,Bytecoin,Clams,CloakCoin,Compcoin,Counterparty,Crown,DECENT,Dash,Decred,Diamond,DigiByte,DigitalNote,Dogecoin,E-coin,Einsteinium,Elastic,Emercoin,Energycoin,Ethereum,Ethereum Classic,Expanse,Factom,FairCoin,FirstCoin,GXShares,Gambit,GameCredits,Golos,GridCoin,Groestlcoin,Gulden,Hshare,I-O Coin,ION,IOTA,Komodo,LBRY Credits,LEOcoin,Lisk,Litecoin,Lykke,Metaverse ETP,MonaCoin,Monero,MonetaryUnit,Mooncoin,NAV Coin,NEM,NEO,Namecoin,Neblio,Nexus,NoLimitCoin,Nxt,OKCash,Omni,PIVX,Particl,Peercoin,PotCoin,Radium,ReddCoin,Ripple,Rise,Rubycoin,SIBCoin,SaluS,Shift,Siacoin,Skycoin,SpreadCoin,Sprouts,Steem,Stellar Lumens,Stratis,Syscoin,The ChampCoin,Ubiq,Unobtanium,Verge,Vertcoin,Viacoin,Waves,ZCoin,Zcash,ZenCash
2013-04-28,,,,,,,135.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,1.1,,,,,,,,,0.386958,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-29,,,,,,,134.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.37,,,,,,,,,,1.1,,,,,,,,,0.3872,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-30,,,,,,,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,1.32,,,,,,,,,0.407066,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01,,,,,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.29,,,,,,,,,,1.46,,,,,,,,,0.37669,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-02,,,,,,,116.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78,,,,,,,,,,1.21,,,,,,,,,0.321209,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-03,,,,,,,106.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,,,,,,,,,,1.09,,,,,,,,,0.2805,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-04,,,,,,,98.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,,,,,,,,,,0.920178,,,,,,,,,0.263889,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-05,,,,,,,112.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,,,,,,,,,,1.06,,,,,,,,,0.296927,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-06,,,,,,,115.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,,,,,,,,,,1.13,,,,,,,,,0.303868,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-07,,,,,,,112.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37,,,,,,,,,,0.982188,,,,,,,,,0.24695,,,,,,,,,,,,,,,,,,,,,,,,,,,
